,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
290,291,2004-04-21,Casa,Alquiler,Tarragona,295,1877675,2004-09-11,Pedro
303,304,2004-04-26,Casa,Alquiler,Barcelona,298,2612566,2005-02-16,Pedro
610,611,2004-08-11,Casa,Venta,Barcelona,294,2658936,2005-06-21,Luisa
759,760,2004-09-26,Casa,Alquiler,Barcelona,299,1695330,2005-07-14,Joaquín
1466,1467,2005-06-09,Casa,Venta,Lleida,299,2333097,2005-09-15,María
1560,1561,2005-07-15,Casa,Alquiler,Barcelona,291,1823406,2006-05-02,Pedro
1742,1743,2005-09-17,Casa,Venta,Girona,292,2630336,2006-01-08,Joaquín
2375,2376,2006-05-01,Casa,Alquiler,Tarragona,296,2813776,2006-10-22,Luisa
2386,2387,2006-05-04,Casa,Venta,Girona,294,1784580,2007-01-28,Luisa
2389,2390,2006-05-05,Casa,Venta,Lleida,290,1853390,2007-05-01,Luisa
2612,2613,2006-07-28,Casa,Venta,Barcelona,294,2618364,,
2708,2709,2006-09-06,Casa,Alquiler,Girona,291,1643568,,
2778,2779,2006-10-04,Casa,Venta,Girona,295,1658785,,
3006,3007,2006-12-26,Casa,Alquiler,Girona,297,2673000,,
3058,3059,2007-01-14,Casa,Alquiler,Lleida,290,2797050,,
3235,3236,2007-03-20,Casa,Alquiler,Girona,292,2765240,,
