,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
0,1,2004-01-01,Parking,Alquiler,Lleida,291,2133903,2004-06-19,Carmen
1,2,2004-01-01,Local,Venta,Girona,199,1945424,2004-04-19,Pedro
2,3,2004-01-01,Oficina,Alquiler,Girona,82,712416,2004-11-08,Joaquín
3,4,2004-01-02,Parking,Alquiler,Girona,285,1815450,2004-04-27,Jesús
5,6,2004-01-03,Industrial,Alquiler,Girona,131,953156,2004-09-05,Pedro
7,8,2004-01-03,Oficina,Venta,Girona,235,2158475,2004-10-31,Jesús
9,10,2004-01-04,Parking,Venta,Lleida,299,2042768,2004-10-06,Joaquín
10,11,2004-01-04,Oficina,Alquiler,Girona,124,627068,2004-10-28,Pedro
11,12,2004-01-04,Industrial,Venta,Girona,187,999328,2004-04-05,Carmen
12,13,2004-01-04,Parking,Venta,Barcelona,300,2937300,2004-11-04,Jesús
14,15,2004-01-04,Industrial,Alquiler,Girona,176,820336,2004-11-29,Pedro
15,16,2004-01-05,Casa,Alquiler,Girona,179,937960,2004-11-21,Carmen
17,18,2004-01-06,Suelo,Venta,Barcelona,283,1679605,2004-06-06,Carmen
18,19,2004-01-07,Piso,Alquiler,Girona,55,472615,2004-04-09,Luisa
22,23,2004-01-10,Casa,Alquiler,Girona,183,1438929,2004-04-21,Luisa
31,32,2004-01-13,Casa,Alquiler,Girona,92,627348,2004-04-12,María
33,34,2004-01-15,Casa,Venta,Barcelona,281,2483197,2004-11-01,María
34,35,2004-01-15,Industrial,Alquiler,Tarragona,257,1799771,2004-12-31,Luisa
36,37,2004-01-16,Local,Venta,Girona,229,1160572,2004-07-09,Pedro
37,38,2004-01-17,Suelo,Alquiler,Tarragona,300,1492800,2004-12-08,Joaquín
39,40,2004-01-18,Oficina,Venta,Girona,182,1057784,2004-07-22,Jesús
42,43,2004-01-19,Oficina,Alquiler,Girona,74,579716,2004-09-22,María
43,44,2004-01-19,Casa,Venta,Girona,278,1537062,2004-12-16,María
44,45,2004-01-20,Oficina,Alquiler,Barcelona,287,2851058,2005-01-02,Joaquín
47,48,2004-01-20,Industrial,Venta,Barcelona,284,1457488,2004-07-06,Jesús
48,49,2004-01-20,Local,Venta,Girona,40,321680,2005-01-11,Jesús
54,55,2004-01-22,Local,Venta,Girona,127,983234,2004-07-09,Carmen
57,58,2004-01-24,Local,Alquiler,Girona,274,2287626,2004-12-21,María
59,60,2004-01-24,Oficina,Alquiler,Lleida,270,1920240,2004-06-28,Jesús
